tripduration,index,VendorID,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,RatecodeID,store_and_fwd_flag,PULocationID,DOLocationID,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount,congestion_surcharge
206.0,59,2,01/01/2021 12:55:19 AM,01/01/2021 12:58:45 AM,2,1.05,1,N,263,75,1,5.5,0.5,0.5,1.86,0.0,0.3,11.16,2.5
1363.0,60,2,01/01/2021 12:44:58 AM,01/01/2021 01:07:41 AM,2,5.85,1,N,249,238,1,21.5,0.5,0.5,5.06,0.0,0.3,30.36,2.5
571.0,61,2,01/01/2021 12:34:36 AM,01/01/2021 12:44:07 AM,1,0.27,1,N,229,229,2,7.0,0.5,0.5,0.0,0.0,0.3,10.8,2.5
830.0,62,1,01/01/2021 12:46:05 AM,01/01/2021 12:59:55 AM,1,3.7,1,N,249,229,1,13.5,3.0,0.5,10.0,0.0,0.3,27.3,2.5
826.0,63,1,01/01/2021 12:06:23 AM,01/01/2021 12:20:09 AM,2,3.7,1,Y,164,87,1,13.5,3.0,0.5,4.3,0.0,0.3,21.6,2.5
622.0,65,2,01/01/2021 12:04:44 AM,01/01/2021 12:15:06 AM,1,2.19,1,N,113,87,1,9.5,0.5,0.5,2.66,0.0,0.3,15.96,2.5
1024.0,66,2,01/01/2021 12:23:01 AM,01/01/2021 12:40:05 AM,1,4.09,1,N,261,48,1,15.5,0.5,0.5,3.86,0.0,0.3,23.16,2.5
654.0,67,2,01/01/2021 12:30:06 AM,01/01/2021 12:41:00 AM,1,3.26,1,N,125,48,2,11.5,0.5,0.5,0.0,0.0,0.3,15.3,2.5
299.0,68,2,01/01/2021 12:46:50 AM,01/01/2021 12:51:49 AM,1,1.11,1,N,48,143,1,5.5,0.5,0.5,2.79,0.0,0.3,12.09,2.5
536.0,69,2,01/01/2021 12:47:59 AM,01/01/2021 12:56:55 AM,1,2.87,1,N,186,231,1,10.0,0.5,0.5,2.76,0.0,0.3,16.56,2.5
796.0,70,1,01/01/2021 12:33:01 AM,01/01/2021 12:46:17 AM,2,4.0,1,N,246,24,1,14.0,3.0,0.5,3.55,0.0,0.3,21.35,2.5
446.0,71,1,01/01/2021 12:29:44 AM,01/01/2021 12:37:10 AM,1,1.3,1,Y,158,211,2,7.0,3.0,0.5,0.0,0.0,0.3,10.8,2.5
572.0,72,1,01/01/2021 12:52:34 AM,01/01/2021 01:02:06 AM,3,2.3,1,Y,170,249,1,9.5,3.0,0.5,2.65,0.0,0.3,15.95,2.5
248.0,73,1,01/01/2021 12:43:00 AM,01/01/2021 12:47:08 AM,1,0.8,1,N,237,236,1,5.0,3.0,0.5,0.75,0.0,0.3,9.55,2.5
92.0,75,2,01/01/2021 12:52:28 AM,01/01/2021 12:54:00 AM,1,0.51,1,N,75,263,2,3.5,0.5,0.5,0.0,0.0,0.3,4.8,0.0
227.0,76,2,01/01/2021 12:56:22 AM,01/01/2021 01:00:09 AM,1,1.17,1,N,263,141,1,5.5,0.5,0.5,1.86,0.0,0.3,11.16,2.5
529.0,77,1,01/01/2021 12:30:01 AM,01/01/2021 12:38:50 AM,1,3.0,1,Y,162,75,1,10.5,3.0,0.5,2.85,0.0,0.3,17.15,2.5
347.0,78,1,01/01/2021 12:45:34 AM,01/01/2021 12:51:21 AM,2,2.0,1,Y,263,233,2,7.5,3.0,0.5,0.0,0.0,0.3,11.3,2.5
169.0,79,1,01/01/2021 12:34:38 AM,01/01/2021 12:37:27 AM,2,1.1,1,N,141,263,1,5.0,3.0,0.5,2.5,0.0,0.3,11.3,2.5
89.0,80,1,01/01/2021 12:39:50 AM,01/01/2021 12:41:19 AM,1,0.6,1,N,263,141,1,4.0,3.0,0.5,2.0,0.0,0.3,9.8,2.5
576.0,81,1,01/01/2021 12:47:18 AM,01/01/2021 12:56:54 AM,3,2.5,1,N,262,142,1,10.0,3.0,0.5,2.0,0.0,0.3,15.8,2.5
522.0,82,2,01/01/2021 12:22:09 AM,01/01/2021 12:30:51 AM,1,3.58,1,N,137,263,1,11.0,0.5,0.5,2.96,0.0,0.3,17.76,2.5
