weekday,duration,tpep_pickup_datetime,PULocationID
0,240.0,07/05/2021 11:44:27 AM,140
0,615.0,07/05/2021 11:59:51 AM,140
0,123.0,07/05/2021 11:20:09 AM,140
0,177.0,07/05/2021 10:52:39 AM,140
0,181.0,07/05/2021 11:33:38 AM,140
0,205.0,07/05/2021 11:13:53 AM,140
0,228.0,07/05/2021 11:38:42 AM,140
0,549.0,07/05/2021 11:25:38 AM,140
0,641.0,07/05/2021 11:53:41 AM,140
0,436.0,07/05/2021 11:08:33 AM,140
0,294.0,07/05/2021 11:55:18 AM,140
0,135.0,07/05/2021 11:55:42 AM,140
0,732.0,07/05/2021 11:51:13 AM,140
0,529.0,07/05/2021 11:19:05 AM,140
0,627.0,07/05/2021 11:55:33 AM,140
0,451.0,07/05/2021 11:50:50 AM,140
0,277.0,07/05/2021 11:22:39 AM,140
0,274.0,07/05/2021 11:25:03 AM,140
0,681.0,07/05/2021 11:36:51 AM,140
0,664.0,07/05/2021 11:17:27 AM,140
0,192.0,07/05/2021 11:17:28 AM,140
0,442.0,07/05/2021 11:12:46 AM,140
0,280.0,07/05/2021 12:10:00 PM,140
0,832.0,07/05/2021 12:46:28 PM,140
0,900.0,07/05/2021 12:55:19 PM,140
0,1071.0,07/05/2021 12:24:10 PM,140
0,297.0,07/05/2021 12:16:54 PM,140
0,218.0,07/05/2021 12:11:36 PM,140
0,331.0,07/05/2021 12:35:04 PM,140
0,723.0,07/05/2021 12:38:43 PM,140
0,364.0,07/05/2021 12:11:55 PM,140
0,424.0,07/05/2021 12:36:30 PM,140
0,1137.0,07/05/2021 12:17:13 PM,140
0,416.0,07/05/2021 12:21:53 PM,140
0,790.0,07/05/2021 12:29:25 PM,140
0,454.0,07/05/2021 12:08:28 PM,140
0,434.0,07/05/2021 12:36:49 PM,140
0,245.0,07/05/2021 12:37:44 PM,140
0,1215.0,07/05/2021 12:01:41 PM,140
0,720.0,07/05/2021 12:28:12 PM,140
0,123.0,07/05/2021 12:35:06 PM,140
0,225.0,07/05/2021 12:50:16 PM,140
0,867.0,07/05/2021 12:03:55 PM,140
0,777.0,07/05/2021 12:42:08 PM,140
0,800.0,07/05/2021 12:55:15 PM,140
0,86080.0,07/05/2021 12:51:19 PM,140
0,208.0,07/05/2021 12:13:15 PM,140
0,442.0,07/05/2021 12:08:41 PM,140
0,313.0,07/05/2021 12:07:55 PM,140
0,590.0,07/05/2021 12:10:45 PM,140
0,197.0,07/05/2021 12:51:54 PM,140
0,399.0,07/05/2021 12:48:25 PM,140
0,353.0,07/05/2021 12:17:13 PM,140
0,351.0,07/05/2021 12:55:46 PM,140
0,2278.0,07/05/2021 12:32:00 PM,140
0,691.0,07/05/2021 12:27:08 PM,140
0,1014.0,07/05/2021 12:59:31 PM,140
0,1447.0,07/05/2021 12:03:36 PM,140
0,237.0,07/05/2021 12:11:27 PM,140
0,335.0,07/05/2021 12:27:01 PM,140
0,162.0,07/05/2021 12:45:58 PM,140
0,220.0,07/05/2021 12:09:32 PM,140
0,924.0,07/05/2021 12:48:00 PM,140
0,130.0,07/05/2021 12:53:30 PM,140
0,870.0,07/05/2021 12:25:34 PM,140
0,423.0,07/05/2021 12:34:05 PM,140
0,408.0,07/05/2021 12:42:32 PM,140
0,821.0,07/05/2021 12:26:31 PM,140
0,919.0,07/05/2021 12:13:03 PM,140
0,340.0,07/05/2021 12:27:31 PM,140
0,273.0,07/05/2021 12:29:43 PM,140
0,488.0,07/05/2021 12:14:46 PM,140
0,950.0,07/05/2021 12:33:54 PM,140
0,144.0,07/05/2021 12:11:15 PM,140
0,492.0,07/05/2021 12:21:45 PM,140
0,411.0,07/05/2021 12:19:51 PM,140
0,543.0,07/05/2021 12:54:17 PM,140
0,519.0,07/05/2021 12:18:39 PM,140
0,565.0,07/05/2021 12:41:10 PM,140
0,779.0,07/05/2021 12:09:04 PM,140
0,547.0,07/05/2021 12:28:20 PM,140
0,594.0,07/05/2021 12:46:30 PM,140
0,857.0,07/05/2021 12:21:59 PM,140
0,1015.0,07/05/2021 12:24:46 PM,140
0,339.0,07/05/2021 01:40:06 PM,140
0,344.0,07/05/2021 12:59:45 PM,140
0,316.0,07/05/2021 01:51:40 PM,140
0,491.0,07/05/2021 01:19:25 PM,140
0,985.0,07/05/2021 01:15:49 PM,140
0,582.0,07/05/2021 01:11:59 PM,140
0,840.0,07/05/2021 01:06:12 PM,140
0,291.0,07/05/2021 01:16:54 PM,140
0,370.0,07/05/2021 01:21:38 PM,140
0,122.0,07/05/2021 01:30:51 PM,140
0,190.0,07/05/2021 12:58:50 PM,140
0,230.0,07/05/2021 01:31:29 PM,140
0,334.0,07/05/2021 01:47:33 PM,140
0,574.0,07/05/2021 01:13:28 PM,140
0,2891.0,07/05/2021 01:50:48 PM,140
0,673.0,07/05/2021 01:10:53 PM,140
0,469.0,07/05/2021 01:08:51 PM,140
0,331.0,07/05/2021 01:38:53 PM,140
0,839.0,07/05/2021 01:01:26 PM,140
0,152.0,07/05/2021 01:00:53 PM,140
0,486.0,07/05/2021 01:43:11 PM,140
0,180.0,07/05/2021 01:45:13 PM,140
0,87.0,07/05/2021 01:45:12 PM,140
0,589.0,07/05/2021 01:46:08 PM,140
0,374.0,07/05/2021 01:55:52 PM,140
0,347.0,07/05/2021 01:15:25 PM,140
0,748.0,07/05/2021 01:16:47 PM,140
0,862.0,07/05/2021 01:32:06 PM,140
0,744.0,07/05/2021 01:57:24 PM,140
0,1074.0,07/05/2021 01:44:30 PM,140
0,1923.0,07/05/2021 01:46:37 PM,140
0,1016.0,07/05/2021 01:35:01 PM,140
0,561.0,07/05/2021 01:49:07 PM,140
0,1276.0,07/05/2021 01:15:02 PM,140
0,267.0,07/05/2021 01:35:30 PM,140
0,577.0,07/05/2021 01:20:02 PM,140
0,456.0,07/05/2021 01:42:44 PM,140
0,383.0,07/05/2021 01:56:04 PM,140
0,381.0,07/05/2021 01:33:25 PM,140
0,275.0,07/05/2021 01:54:34 PM,140
0,459.0,07/05/2021 01:50:59 PM,140
0,305.0,07/05/2021 01:26:12 PM,140
0,1240.0,07/05/2021 01:17:20 PM,140
0,403.0,07/05/2021 01:09:36 PM,140
0,636.0,07/05/2021 01:38:14 PM,140
0,427.0,07/05/2021 01:20:20 PM,140
0,254.0,07/05/2021 01:03:45 PM,140
0,650.0,07/05/2021 01:15:41 PM,140
0,698.0,07/05/2021 01:42:35 PM,140
0,399.0,07/05/2021 01:13:36 PM,140
0,1089.0,07/05/2021 01:10:21 PM,140
0,261.0,07/05/2021 01:00:42 PM,140
0,490.0,07/05/2021 02:02:00 PM,140
0,427.0,07/05/2021 02:15:03 PM,140
0,70.0,07/05/2021 02:24:08 PM,140
0,733.0,07/05/2021 02:31:00 PM,140
0,434.0,07/05/2021 02:47:57 PM,140
0,250.0,07/05/2021 02:04:02 PM,140
0,283.0,07/05/2021 02:42:14 PM,140
0,967.0,07/05/2021 02:42:57 PM,140
0,125.0,07/05/2021 02:54:41 PM,140
0,835.0,07/05/2021 02:38:15 PM,140
0,554.0,07/05/2021 02:42:05 PM,140
0,191.0,07/05/2021 02:42:18 PM,140
0,951.0,07/05/2021 02:39:12 PM,140
0,554.0,07/05/2021 02:03:55 PM,140
0,195.0,07/05/2021 03:01:51 PM,140
0,549.0,07/05/2021 02:36:37 PM,140
0,331.0,07/05/2021 02:11:27 PM,140
0,245.0,07/05/2021 02:20:48 PM,140
0,254.0,07/05/2021 02:50:57 PM,140
0,656.0,07/05/2021 02:27:25 PM,140
