weekday,duration,start_zoneID,started_at
0,958.0,42,2021-07-19 21:18:55
0,582.0,42,2021-07-12 19:26:59
0,610.0,42,2021-07-26 01:13:25
0,624.0,42,2021-07-12 17:39:43
0,977.0,42,2021-07-26 18:48:08
0,1961.0,42,2021-07-26 03:03:54
0,518.0,42,2021-07-05 05:04:09
0,159.0,42,2021-07-19 08:00:03
0,175.0,42,2021-07-12 20:07:45
0,213.0,42,2021-07-12 17:18:21
0,457.0,42,2021-07-12 16:41:10
0,452.0,42,2021-07-19 08:53:03
0,324.0,42,2021-07-26 19:21:07
0,263.0,42,2021-07-19 19:53:52
0,227.0,42,2021-07-12 12:12:53
0,200.0,42,2021-07-26 07:47:12
0,213.0,42,2021-07-19 03:53:29
0,260.0,42,2021-07-12 20:57:37
0,228.0,42,2021-07-26 21:34:39
0,483.0,42,2021-07-12 19:10:02
0,538.0,42,2021-07-26 21:57:47
0,466.0,42,2021-07-12 07:54:32
0,2958.0,42,2021-07-19 01:12:18
0,779.0,42,2021-07-26 20:31:47
0,440.0,42,2021-07-12 10:54:03
0,984.0,42,2021-07-19 07:33:26
0,1386.0,42,2021-07-26 18:04:50
0,2727.0,42,2021-07-12 18:56:51
0,561.0,42,2021-07-05 02:36:58
0,68.0,42,2021-07-12 13:02:42
0,2835.0,42,2021-07-12 18:57:26
0,46.0,42,2021-07-12 15:39:00
0,967.0,42,2021-07-12 06:22:12
0,21.0,42,2021-07-19 02:50:35
0,31.0,42,2021-07-05 01:14:41
0,263.0,42,2021-07-12 07:33:13
0,17.0,42,2021-07-12 12:47:40
0,791.0,42,2021-07-12 12:40:30
0,3591.0,42,2021-07-26 20:50:46
0,14.0,42,2021-07-26 15:47:31
0,875.0,42,2021-07-26 23:44:46
0,973.0,42,2021-07-19 14:54:45
0,1254.0,42,2021-07-19 13:52:19
0,1153.0,42,2021-07-19 21:14:00
0,573.0,42,2021-07-12 01:24:58
0,431.0,42,2021-07-12 18:24:35
0,389.0,42,2021-07-26 19:56:51
0,976.0,42,2021-07-05 21:34:57
0,1169.0,42,2021-07-05 22:04:18
0,58.0,42,2021-07-05 18:42:46
0,55.0,42,2021-07-05 19:55:55
0,136.0,42,2021-07-26 21:16:45
0,1931.0,42,2021-07-26 19:44:36
0,2285.0,42,2021-07-26 20:34:41
0,865.0,42,2021-07-05 16:15:42
0,357.0,42,2021-07-12 10:43:00
0,2844.0,42,2021-07-19 17:30:52
0,365.0,42,2021-07-19 15:38:58
0,796.0,42,2021-07-12 07:44:19
0,1354.0,42,2021-07-12 00:17:00
0,397.0,42,2021-07-05 10:43:59
0,571.0,42,2021-07-12 10:06:35
0,630.0,42,2021-07-19 10:35:56
0,528.0,42,2021-07-26 13:30:08
0,751.0,42,2021-07-05 18:19:34
0,492.0,42,2021-07-05 19:55:57
0,747.0,42,2021-07-05 19:02:22
0,353.0,42,2021-07-26 22:06:28
0,603.0,42,2021-07-12 19:25:20
0,952.0,42,2021-07-19 17:22:50
0,727.0,42,2021-07-12 14:40:30
0,405.0,42,2021-07-26 11:32:49
0,515.0,42,2021-07-05 08:39:13
0,196.0,42,2021-07-19 11:55:02
0,318.0,42,2021-07-26 09:21:26
0,1064.0,42,2021-07-19 19:15:04
0,782.0,42,2021-07-26 16:32:09
0,248.0,42,2021-07-05 19:26:03
0,766.0,42,2021-07-12 07:45:34
0,1090.0,42,2021-07-26 15:42:50
0,170.0,42,2021-07-12 18:21:29
0,730.0,42,2021-07-05 21:11:51
0,541.0,42,2021-07-26 15:57:17
0,778.0,42,2021-07-05 11:41:57
0,507.0,42,2021-07-19 16:52:11
0,351.0,42,2021-07-12 01:02:04
0,519.0,42,2021-07-26 17:59:31
0,212.0,42,2021-07-12 23:36:44
0,216.0,42,2021-07-26 19:13:49
0,614.0,42,2021-07-12 20:04:53
0,358.0,42,2021-07-26 17:09:14
0,204.0,42,2021-07-26 08:28:04
0,136.0,42,2021-07-12 18:02:16
0,302.0,42,2021-07-05 00:08:23
0,211.0,42,2021-07-05 08:56:42
0,409.0,42,2021-07-26 10:58:10
0,391.0,42,2021-07-26 10:56:56
0,1297.0,42,2021-07-19 05:34:08
0,1316.0,42,2021-07-26 07:19:56
0,504.0,42,2021-07-19 21:22:24
0,1482.0,42,2021-07-26 22:26:17
0,415.0,42,2021-07-12 06:56:44
0,747.0,42,2021-07-12 00:07:42
0,364.0,42,2021-07-19 16:09:08
0,509.0,42,2021-07-26 09:31:18
0,999.0,42,2021-07-26 10:29:42
0,12865.0,42,2021-07-19 21:33:30
0,479.0,42,2021-07-19 18:14:38
0,347.0,42,2021-07-26 23:53:00
0,1037.0,42,2021-07-05 15:41:05
0,1006.0,42,2021-07-05 15:41:39
0,621.0,42,2021-07-19 14:06:30
0,379.0,42,2021-07-19 22:45:32
0,403.0,42,2021-07-19 18:31:24
0,343.0,42,2021-07-05 13:33:42
0,855.0,42,2021-07-19 13:27:35
0,368.0,42,2021-07-05 14:23:45
0,3424.0,42,2021-07-19 14:52:39
0,209.0,42,2021-07-05 16:33:50
0,978.0,42,2021-07-26 21:31:28
0,827.0,42,2021-07-26 14:17:18
0,776.0,42,2021-07-19 20:22:47
0,1574.0,42,2021-07-19 08:21:37
0,492.0,42,2021-07-26 15:49:26
0,774.0,42,2021-07-19 16:28:27
0,2227.0,42,2021-07-26 15:31:55
0,752.0,42,2021-07-05 23:47:58
0,750.0,42,2021-07-05 19:24:01
0,271.0,42,2021-07-26 16:49:33
0,1426.0,42,2021-07-26 13:31:45
0,845.0,42,2021-07-26 18:46:45
0,692.0,42,2021-07-12 12:40:29
0,925.0,42,2021-07-26 16:53:59
0,1205.0,42,2021-07-19 18:14:19
0,915.0,42,2021-07-05 16:17:33
0,398.0,42,2021-07-19 18:53:03
0,3483.0,42,2021-07-05 11:20:49
0,27.0,42,2021-07-19 15:26:57
0,15.0,42,2021-07-12 14:51:22
0,619.0,42,2021-07-12 07:24:24
0,17.0,42,2021-07-12 08:14:30
0,1003.0,42,2021-07-26 16:18:53
0,542.0,42,2021-07-26 07:25:26
0,528.0,42,2021-07-19 07:26:01
0,842.0,42,2021-07-26 18:27:34
0,446.0,42,2021-07-26 07:19:25
0,653.0,42,2021-07-19 16:11:22
0,1247.0,42,2021-07-05 23:41:16
0,381.0,42,2021-07-26 18:46:53
0,3046.0,42,2021-07-19 12:25:02
0,421.0,42,2021-07-26 14:32:30
0,939.0,42,2021-07-05 19:01:15
0,416.0,42,2021-07-26 08:16:36
0,460.0,42,2021-07-19 03:47:25
0,1782.0,42,2021-07-12 12:01:53
0,369.0,42,2021-07-12 15:57:41
0,152.0,42,2021-07-26 20:16:38
0,268.0,42,2021-07-05 11:21:48
0,517.0,42,2021-07-26 17:52:02
0,10.0,42,2021-07-19 13:14:52
0,222.0,42,2021-07-05 11:36:14
0,263.0,42,2021-07-19 10:09:10
0,332.0,42,2021-07-26 13:58:40
0,697.0,42,2021-07-19 21:34:56
0,983.0,42,2021-07-19 11:07:16
0,422.0,42,2021-07-26 14:20:14
0,588.0,42,2021-07-12 09:59:55
0,321.0,42,2021-07-26 19:51:07
0,205.0,42,2021-07-26 19:08:59
0,1284.0,42,2021-07-05 00:35:14
0,1465.0,42,2021-07-26 17:54:56
0,1211.0,42,2021-07-26 23:57:53
0,759.0,42,2021-07-19 10:31:36
0,1004.0,42,2021-07-12 10:13:22
0,1310.0,42,2021-07-26 22:57:25
0,325.0,42,2021-07-19 20:43:38
0,4027.0,42,2021-07-05 10:34:09
0,519.0,42,2021-07-12 16:44:17
0,306.0,42,2021-07-05 20:36:03
0,160.0,42,2021-07-05 08:53:02
0,168.0,42,2021-07-12 13:29:46
0,219.0,42,2021-07-05 08:56:02
0,191.0,42,2021-07-26 09:06:32
0,473.0,42,2021-07-19 15:13:53
0,599.0,42,2021-07-19 20:00:25
0,199.0,42,2021-07-12 12:34:43
0,241.0,42,2021-07-26 08:23:56
0,161.0,42,2021-07-19 18:47:09
0,764.0,42,2021-07-26 20:39:25
0,340.0,42,2021-07-12 16:15:05
0,1008.0,42,2021-07-26 07:14:19
0,785.0,42,2021-07-12 17:13:42
0,602.0,42,2021-07-26 17:00:23
0,1194.0,42,2021-07-05 10:41:17
0,4296.0,42,2021-07-19 14:00:55
0,2359.0,42,2021-07-19 12:00:30
0,1187.0,42,2021-07-05 10:41:29
0,481.0,42,2021-07-05 22:48:56
0,237.0,42,2021-07-05 07:10:22
0,601.0,42,2021-07-05 20:08:34
0,567.0,42,2021-07-26 23:34:18
0,2721.0,42,2021-07-19 20:31:03
0,162.0,42,2021-07-26 23:29:52
0,1209.0,42,2021-07-26 08:23:50
0,993.0,42,2021-07-05 23:21:53
0,543.0,42,2021-07-26 15:19:54
0,236.0,42,2021-07-05 06:53:41
0,254.0,42,2021-07-26 19:35:12
0,643.0,42,2021-07-26 12:52:20
0,153.0,42,2021-07-19 18:57:37
0,144.0,42,2021-07-19 03:18:31
0,157.0,42,2021-07-19 18:30:43
0,123.0,42,2021-07-19 17:35:24
0,1201.0,42,2021-07-05 05:36:59
0,368.0,42,2021-07-19 17:40:52
0,982.0,42,2021-07-26 23:16:12
0,3056.0,42,2021-07-26 14:46:07
0,2338.0,42,2021-07-26 21:01:41
0,393.0,42,2021-07-12 17:41:04
0,1593.0,42,2021-07-19 16:15:59
0,2517.0,42,2021-07-05 12:48:21
0,977.0,42,2021-07-12 20:00:58
0,4592.0,42,2021-07-05 11:42:17
0,1579.0,42,2021-07-05 11:42:21
0,1266.0,42,2021-07-12 15:41:34
0,310.0,42,2021-07-05 16:18:44
0,297.0,42,2021-07-12 07:11:27
0,792.0,42,2021-07-19 12:05:28
0,1440.0,42,2021-07-19 17:24:06
0,512.0,42,2021-07-12 08:14:36
0,1270.0,42,2021-07-12 18:09:22
0,648.0,42,2021-07-26 07:46:20
0,2906.0,42,2021-07-05 11:57:52
0,667.0,42,2021-07-26 11:06:04
0,704.0,42,2021-07-05 10:47:41
0,1433.0,42,2021-07-19 20:56:15
0,610.0,42,2021-07-12 12:10:36
0,535.0,42,2021-07-12 08:45:34
0,547.0,42,2021-07-12 08:45:19
0,761.0,42,2021-07-05 15:11:49
0,1348.0,42,2021-07-05 16:03:04
